timestamp,power_w
2025-11-28T10:40:00.129225,8.0
2025-11-28T10:41:00.431940,8.0
2025-11-28T10:42:00.077525,7.9
2025-11-28T10:43:00.567747,7.9
2025-11-28T10:43:34.935895,7.6
2025-11-28T10:44:00.160691,7.8
2025-11-28T10:45:00.660343,8.0
2025-11-28T10:46:00.729537,7.8
2025-11-28T10:47:00.198003,7.7
2025-11-28T10:48:00.192039,7.8
2025-11-28T10:49:00.201933,7.8
2025-11-28T10:50:00.207731,7.9
2025-11-28T10:51:00.572032,7.7
2025-11-28T10:51:24.294700,7.8
2025-11-28T10:52:00.424790,7.6
2025-11-28T10:53:00.432263,7.7
2025-11-28T10:54:00.442614,7.7
2025-11-28T10:54:02.630024,7.6
2025-11-28T10:54:03.609372,8
2025-11-28T10:54:05.121356,7.6
2025-11-28T10:54:05.611166,8
2025-11-28T10:54:06.610559,8
2025-11-28T10:54:08.126349,7.9
2025-11-28T10:54:08.617274,7.6
2025-11-28T10:54:09.611247,7.9
2025-11-28T10:54:11.627525,7.7
2025-11-28T10:54:11.638695,7.9
2025-11-28T10:54:12.611380,7.9
2025-11-28T10:54:13.612808,7.7
2025-11-28T10:54:15.632202,7.7
2025-11-28T10:54:15.636990,7.5
2025-11-28T10:54:16.611324,7.7
2025-11-28T10:54:17.608726,7.9
2025-11-28T10:54:19.625739,8
2025-11-28T10:54:19.631414,8
2025-11-28T10:54:20.613160,7.9
2025-11-28T10:54:26.894623,7.8
2025-11-28T10:54:27.888801,7.8
2025-11-28T10:54:41.188415,7.8
2025-11-28T10:54:51.226561,7.6
2025-11-28T10:55:00.451048,8.1
2025-11-28T10:55:01.126657,7.7
2025-11-28T10:55:11.293779,7.8
2025-11-28T10:55:21.330358,7.8
2025-11-28T10:55:31.160240,7.6
2025-11-28T10:55:41.195584,7.6
2025-11-28T10:55:45.589029,9.9
2025-11-28T10:55:45.602812,14.8
2025-11-28T10:55:47.827694,16.9
2025-11-28T10:55:48.472573,24.4
2025-11-28T10:55:48.479306,24.4
2025-11-28T10:55:49.454799,51.5
2025-11-28T10:55:50.866410,120.6
2025-11-28T10:55:50.870216,120.6
2025-11-28T10:55:51.126672,120.6
2025-11-28T10:55:52.168831,13.9
2025-11-28T10:55:52.889371,9.5
2025-11-28T10:55:52.894716,9.5
2025-11-28T10:55:53.456163,8.0
2025-11-28T10:55:54.456323,10.4
2025-11-28T10:55:55.462551,14.4
2025-11-28T10:55:56.495740,25.0
2025-11-28T10:55:56.500868,25.0
2025-11-28T10:55:57.456407,52.8
2025-11-28T10:55:58.473857,139.6
2025-11-28T10:55:58.478637,139.6
2025-11-28T10:55:59.861346,118.7
2025-11-28T10:56:00.661048,118.7
2025-11-28T10:56:00.702707,16.5
2025-11-28T10:56:00.703691,16.5
2025-11-28T10:56:01.129436,16.5
2025-11-28T10:56:01.456657,29.2
2025-11-28T10:56:02.473743,31.3
2025-11-28T10:56:02.480401,31.3
2025-11-28T10:56:03.466716,25.9
2025-11-28T10:56:04.886796,7.7
2025-11-28T10:56:04.892582,7.7
2025-11-28T10:56:05.464115,14.0
2025-11-28T10:56:06.935101,9.0
2025-11-28T10:56:07.460264,7.5
2025-11-28T10:56:08.983749,10.0
2025-11-28T10:56:09.474827,35.5
2025-11-28T10:56:10.966631,57.9
2025-11-28T10:56:10.972367,57.9
2025-11-28T10:56:11.128608,57.9
2025-11-28T10:56:12.158577,138.4
2025-11-28T10:56:12.477650,117.7
2025-11-28T10:56:12.487276,117.7
2025-11-28T10:56:13.461149,19.6
