timestamp,power_w
2025-11-30T01:35:31.944823,168.3
2025-11-30T01:35:32.922846,174.6
2025-11-30T01:35:33.923482,153.1
2025-11-30T01:35:34.924831,177.6
2025-11-30T01:35:35.894233,177.6
2025-11-30T01:35:35.961864,164.7
2025-11-30T01:35:37.922507,156.0
2025-11-30T01:35:38.923726,166.5
2025-11-30T01:35:40.287464,185.2
2025-11-30T01:35:40.935081,157.6
2025-11-30T01:35:40.939687,157.6
2025-11-30T01:35:41.920280,183.4
2025-11-30T01:35:42.955815,175.2
2025-11-30T01:35:43.923111,145.5
2025-11-30T01:35:44.919959,172.8
2025-11-30T01:35:45.893750,172.8
2025-11-30T01:35:46.958262,166.5
2025-11-30T01:35:47.927697,158.7
2025-11-30T01:35:48.959297,149.1
2025-11-30T01:35:48.963939,149.1
2025-11-30T01:35:49.922684,8.2
2025-11-30T01:35:50.931930,6.9
2025-11-30T01:35:50.936378,6.9
2025-11-30T01:35:54.991319,134.5
2025-11-30T01:35:54.997357,134.5
2025-11-30T01:35:55.890945,134.5
2025-11-30T01:35:55.950613,345.6
2025-11-30T01:35:56.933809,143.6
2025-11-30T01:35:56.940067,143.6
2025-11-30T01:35:58.931898,172.3
2025-11-30T01:35:58.936614,172.3
2025-11-30T01:36:00.044021,167.9
2025-11-30T01:36:00.945127,155.1
2025-11-30T01:36:00.949735,155.1
2025-11-30T01:36:04.005141,171.0
2025-11-30T01:36:04.921222,161.0
2025-11-30T01:36:05.893848,161
2025-11-30T01:36:05.952766,149.0
2025-11-30T01:36:07.918314,168.1
2025-11-30T01:36:08.933998,139.4
2025-11-30T01:36:08.938650,139.4
2025-11-30T01:36:09.942296,146.6
2025-11-30T01:36:10.930837,156.9
2025-11-30T01:36:10.935679,156.9
2025-11-30T01:36:12.939097,165.4
2025-11-30T01:36:12.943789,165.4
2025-11-30T01:36:14.932250,7.3
2025-11-30T01:36:14.938270,7.3
2025-11-30T01:36:15.891044,7.3
2025-11-30T01:36:19.975795,257.4
2025-11-30T01:36:20.931341,209.0
2025-11-30T01:36:20.936941,209.0
2025-11-30T01:36:21.942295,171.7
2025-11-30T01:36:22.918781,175.0
2025-11-30T01:36:24.938564,165.0
2025-11-30T01:36:25.893660,165
2025-11-30T01:36:26.917064,175.9
2025-11-30T01:36:27.939414,156.4
2025-11-30T01:36:28.918207,160.8
2025-11-30T01:36:30.943335,166.7
2025-11-30T01:36:32.920704,171.6
2025-11-30T01:36:33.949680,175.2
2025-11-30T01:36:35.889908,176
2025-11-30T01:36:35.949303,204.0
2025-11-30T01:36:36.940698,175.3
2025-11-30T01:36:38.931217,95.6
2025-11-30T01:36:38.935879,95.6
2025-11-30T01:36:39.942539,16.0
2025-11-30T01:36:40.930428,28.1
2025-11-30T01:36:40.935049,28.1
2025-11-30T01:36:43.936155,30.2
2025-11-30T01:36:45.889890,31.6
2025-11-30T01:36:45.946116,32.1
2025-11-30T01:36:55.909683,33.1
2025-11-30T01:37:00.116356,32.9
2025-11-30T01:37:05.945148,32.5
2025-11-30T01:37:15.981879,32.8
2025-11-30T01:37:23.975543,26.8
2025-11-30T01:37:24.930044,11.5
2025-11-30T01:37:24.973378,11.5
2025-11-30T01:37:25.891168,11.5
2025-11-30T01:37:25.973918,7.3
2025-11-30T01:37:26.919350,7.1
2025-11-30T01:37:35.136134,19.9
2025-11-30T01:37:35.141071,19.9
2025-11-30T01:37:35.888545,19.9
2025-11-30T01:37:35.943345,26.1
2025-11-30T01:37:36.917154,27.2
2025-11-30T01:37:37.916541,27.8
2025-11-30T01:37:39.913810,25.1
2025-11-30T01:37:40.956028,16.1
2025-11-30T01:37:41.001356,16.1
2025-11-30T01:37:41.914104,6.9
2025-11-30T01:37:42.917320,7.4
2025-11-30T01:37:45.983747,7.2
2025-11-30T01:37:53.055294,24.5
2025-11-30T01:37:53.063601,24.5
2025-11-30T01:37:53.913862,26.6
2025-11-30T01:37:54.930677,12.5
2025-11-30T01:37:54.935207,12.5
2025-11-30T01:37:55.889181,12.5
2025-11-30T01:37:55.957894,7.3
2025-11-30T01:37:56.914073,7.2
2025-11-30T01:38:00.349768,7.1
2025-11-30T01:38:05.042180,22.4
2025-11-30T01:38:05.047352,22.4
2025-11-30T01:38:05.889355,22.4
2025-11-30T01:38:05.942762,29.1
2025-11-30T01:38:06.928456,31.2
2025-11-30T01:38:06.933820,31.2
2025-11-30T01:38:07.950655,14.0
2025-11-30T01:38:08.928167,7.2
2025-11-30T01:38:08.934358,7.2
2025-11-30T01:38:13.470129,10.0
2025-11-30T01:38:13.474701,10.0
2025-11-30T01:38:13.914974,228.7
2025-11-30T01:38:14.927067,118.7
2025-11-30T01:38:14.937330,118.7
2025-11-30T01:38:15.890761,118.7
2025-11-30T01:38:15.949291,150.2
2025-11-30T01:38:16.953297,142.9
2025-11-30T01:38:17.914366,117.1
2025-11-30T01:38:18.930355,86.7
2025-11-30T01:38:18.935097,86.7
2025-11-30T01:38:19.916235,68.6
2025-11-30T01:38:20.928216,16.0
2025-11-30T01:38:20.932711,16.0
2025-11-30T01:38:21.917764,6.8
2025-11-30T01:38:22.915195,7.2
2025-11-30T01:38:24.926804,152.6
2025-11-30T01:38:24.931274,152.6
2025-11-30T01:38:25.887608,152.6
2025-11-30T01:38:25.950229,95.7
2025-11-30T01:38:26.929732,128.5
2025-11-30T01:38:26.940039,128.5
2025-11-30T01:38:27.913527,121.5
2025-11-30T01:38:28.929258,100.3
2025-11-30T01:38:28.973363,100.3
2025-11-30T01:38:29.922627,82.1
2025-11-30T01:38:30.927561,67.4
2025-11-30T01:38:30.934564,67.4
2025-11-30T01:38:31.913412,30.1
2025-11-30T01:38:32.929315,7.0
2025-11-30T01:38:32.935580,7.0
2025-11-30T01:38:35.955576,7.1
2025-11-30T01:38:36.010102,97.4
2025-11-30T01:38:36.929215,232.6
2025-11-30T01:38:36.933662,232.6
2025-11-30T01:38:37.916684,119.4
2025-11-30T01:38:38.934555,137.5
2025-11-30T01:38:38.941143,137.5
2025-11-30T01:38:42.001796,115.2
2025-11-30T01:38:42.928139,85.8
2025-11-30T01:38:42.932441,85.8
2025-11-30T01:38:43.913390,61.7
2025-11-30T01:38:44.929171,52.6
2025-11-30T01:38:44.934930,52.6
2025-11-30T01:38:45.898442,52.6
2025-11-30T01:38:45.953932,64.6
2025-11-30T01:38:46.929276,108.8
2025-11-30T01:38:46.934534,108.8
2025-11-30T01:38:47.917480,42.6
2025-11-30T01:38:48.926818,38.4
2025-11-30T01:38:48.931459,38.4
2025-11-30T01:38:49.917514,35.8
2025-11-30T01:38:50.916830,34.3
2025-11-30T01:38:51.917824,32.7
2025-11-30T01:38:52.929208,15.0
2025-11-30T01:38:52.933941,15.0
2025-11-30T01:38:53.914665,7.3
2025-11-30T01:38:54.916730,7.1
2025-11-30T01:38:55.888807,7.1
2025-11-30T01:38:56.928028,17.2
2025-11-30T01:38:56.933677,17.2
